traits	patch	samp.dates	short.names
5_5925_2013.221918	6	2013.221918	5_5925
4_9592_2013.205479	5	2013.205479	4_9592
5_5924_2013.241096	6	2013.241096	5_5924
4_9590_2013.210959	5	2013.210959	4_9590
2_22283_2013.358904	3	2013.358904	2_22283
5_5921_2013.208219	6	2013.208219	5_5921
5_5919_2013.183562	6	2013.183562	5_5919
5_5918_2013.191781	6	2013.191781	5_5918
5_5917_2013.369863	6	2013.369863	5_5917
5_5916_2013.246575	6	2013.246575	5_5916
5_5915_2013.246575	6	2013.246575	5_5915
4_9588_2013.150685	5	2013.150685	4_9588
2_22281_2013.213699	3	2013.213699	2_22281
1_7295_2013.178082	2	2013.178082	1_7295
5_5908_2013.2	6	2013.2	5_5908
5_5907_2013.175342	6	2013.175342	5_5907
5_5906_2013.167123	6	2013.167123	5_5906
2_22277_2013.224658	3	2013.224658	2_22277
2_22276_2013.167123	3	2013.167123	2_22276
5_5905_2013.147945	6	2013.147945	5_5905
2_22275_2013.205479	3	2013.205479	2_22275
5_5904_2013.180822	6	2013.180822	5_5904
5_5903_2013.161644	6	2013.161644	5_5903
5_5902_2013.189041	6	2013.189041	5_5902
5_5901_2013.161644	6	2013.161644	5_5901
5_5896_2013.194521	6	2013.194521	5_5896
5_5894_2013.142466	6	2013.142466	5_5894
4_9587_2013.172603	5	2013.172603	4_9587
5_5892_2013.347945	6	2013.347945	5_5892
2_22269_2013.356164	3	2013.356164	2_22269
4_9586_2013.147945	5	2013.147945	4_9586
2_22268_2013.120548	3	2013.120548	2_22268
5_5888_2013.145205	6	2013.145205	5_5888
2_22264_2013.205479	3	2013.205479	2_22264
5_5886_2013.230137	6	2013.230137	5_5886
5_5884_2013.10411	6	2013.10411	5_5884
5_5883_2013.093151	6	2013.093151	5_5883
2_22263_2013.19726	3	2013.19726	2_22263
2_22262_2013.128767	3	2013.128767	2_22262
5_5882_2013.158904	6	2013.158904	5_5882
4_9583_2013.117808	5	2013.117808	4_9583
2_22261_2013.153425	3	2013.153425	2_22261
5_5880_2013.109589	6	2013.109589	5_5880
4_9582_2013.139726	5	2013.139726	4_9582
5_5879_2013.139726	6	2013.139726	5_5879
5_5878_2013.117808	6	2013.117808	5_5878
5_5875_2013.145205	6	2013.145205	5_5875
5_5874_2013.10137	6	2013.10137	5_5874
4_9580_2013.153425	5	2013.153425	4_9580
5_5873_2013.117808	6	2013.117808	5_5873
5_5872_2013.139726	6	2013.139726	5_5872
5_5871_2013.109589	6	2013.109589	5_5871
2_22257_2013.230137	3	2013.230137	2_22257
5_5869_2013.142466	6	2013.142466	5_5869
5_5868_2013.106849	6	2013.106849	5_5868
5_5867_2013.10137	6	2013.10137	5_5867
2_22254_2013.131507	3	2013.131507	2_22254
5_5864_2013.191781	6	2013.191781	5_5864
